supplier_code,supplier_name,purchase_order_count,departments_served,total_purchase_amount,average_line_amount
1029823,"Health Net Community Solutions, Inc.",7,1,13587059000.06,222738672.13
1087520,L.A. Care Health Plan,2,1,11160129000.04,507278590.91
1275360,Delta Dental of California,5,2,8172038064.03,908004229.34
1035764,"Blue Cross of California Partnership Plan, Inc.",8,1,7176560939.15,82489206.2
1059342,Inland Empire Health Plan,2,1,5438790000.04,226616250
1010119,County of Los Angeles,40,22,4409260883.19,80168379.69
1559320,Fresno-Kings-Madera Regional Health Authority,1,1,3509792000,250699428.57
1030158,Health Plan of San Joaquin,4,1,3102765864.03,114917254.22
1074588,Ventura County,15,5,3029475475.1,79723038.82
1096380,"Molina Healthcare of California Partner Plan, Inc.",5,1,3026911000.05,56053907.41
