department_name,purchase_order_count,supplier_count,total_purchase_amount,average_line_amount
"Health Care Services, Department of",1636,535,99759350736.42,34856516.68
"Public Health, Department of",3127,1028,5621592094.21,1375144.84
"Social Services, Department of",1727,507,5565328198.27,2395750.41
"Corrections and Rehabilitation, Department of",36033,2960,4710931451.25,81882.25
"State Hospitals, Department of",8414,2027,4435475475.53,234532.33
"Transportation, Department of",13070,3104,4347882799.66,246422.74
"High Speed Rail Authority, California",264,161,3565361682.22,7291128.18
"Water Resources, Department of",3915,1175,2790266200.9,98488.09
Correctional Health Care Services,28178,1475,2065379420.88,64832.83
Employment Development Department,3352,906,1724960851.03,505557.11
